flags_all_modified
name,landmass,zone,area,population,language,religion,bars,stripes,colours,red ,green,blue,gold,white,black,orange ,mainhue
Sao-Tome,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Saudi-Arabia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Senegal,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Seychelles,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Sierra-Leone,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Singapore,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Soloman-Islands,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Somalia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
South-Africa,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
South-Korea,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
South-Yemen,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Spain,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Sri-Lanka,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
St-Helena,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
St-Kitts-Nevis,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
St-Lucia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
St-Vincent,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Sudan,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Surinam,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Swaziland,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Sweden,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Switzerland,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Syria,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Taiwan,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Tanzania,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Thailand,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Togo,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Tonga,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Trinidad-Tobago,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Tunisia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Turkey,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Turks-Cocos-Islands,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Tuvalu,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
UAE,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Uganda,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
UK,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Uruguay,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
US-Virgin-Isles,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
USA,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
USSR,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Vanuatu,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Vatican-City,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Venezuela,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Vietnam,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Western-Samoa,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Yugoslavia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Zaire,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Zambia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Zimbabwe,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
