name,landmass,zone,area,population,language,religion,bars,stripes,colours,red ,green,blue,gold,white,black,orange ,mainhue
Senegal,4,4,196,6,3,2,3,0,3,1,1,0,1,0,0,0,green
Seychelles,4,2,0,0,1,1,0,0,3,1,1,0,0,1,0,0,red
Sierra-Leone,4,4,72,3,1,5,0,3,3,0,1,1,0,1,0,0,green
Singapore,5,1,1,3,7,3,0,2,2,1,0,0,0,1,0,0,white
Soloman-Islands,6,2,30,0,1,1,0,0,4,0,1,1,1,1,0,0,green
Somalia,4,1,637,5,10,2,0,0,2,0,0,1,0,1,0,0,blue
South-Africa,4,2,1221,29,6,1,0,3,5,1,1,1,0,1,0,1,orange
South-Korea,5,1,99,39,10,7,0,0,4,1,0,1,0,1,1,0,white
South-Yemen,5,1,288,2,8,2,0,3,4,1,0,1,0,1,1,0,red
Spain,3,4,505,38,2,0,0,3,2,1,0,0,1,0,0,0,red
Sri-Lanka,5,1,66,15,10,3,2,0,4,0,1,0,1,0,0,1,gold
St-Helena,4,3,0,0,1,1,0,0,7,1,1,1,1,1,0,1,blue
St-Kitts-Nevis,1,4,0,0,1,1,0,0,5,1,1,0,1,1,1,0,green
St-Lucia,1,4,0,0,1,1,0,0,4,0,0,1,1,1,1,0,blue
St-Vincent,1,4,0,0,1,1,5,0,4,0,1,1,1,1,0,0,green
Sudan,4,1,2506,20,8,2,0,3,4,1,1,0,0,1,1,0,red
Surinam,2,4,63,0,6,1,0,5,4,1,1,0,1,1,0,0,red
Swaziland,4,2,17,1,10,1,0,5,7,1,0,1,1,1,1,1,blue
Sweden,3,1,450,8,6,1,0,0,2,0,0,1,1,0,0,0,blue
Switzerland,3,1,41,6,4,1,0,0,2,1,0,0,0,1,0,0,red
Syria,5,1,185,10,8,2,0,3,4,1,1,0,0,1,1,0,red
Taiwan,5,1,36,18,7,3,0,0,3,1,0,1,0,1,0,0,red
Tanzania,4,2,945,18,10,5,0,0,4,0,1,1,1,0,1,0,green
Thailand,5,1,514,49,10,3,0,5,3,1,0,1,0,1,0,0,red
Togo,4,1,57,2,3,7,0,5,4,1,1,0,1,1,0,0,green
Tonga,6,2,1,0,10,1,0,0,2,1,0,0,0,1,0,0,red
Trinidad-Tobago,2,4,5,1,1,1,0,0,3,1,0,0,0,1,1,0,red
Tunisia,4,1,164,7,8,2,0,0,2,1,0,0,0,1,0,0,red
Turkey,5,1,781,45,9,2,0,0,2,1,0,0,0,1,0,0,red
Turks-Cocos-Islands,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,blue
Tuvalu,6,2,0,0,1,1,0,0,5,1,0,1,1,1,0,0,blue
UAE,5,1,84,1,8,2,1,3,4,1,1,0,0,1,1,0,green
Uganda,4,1,236,13,10,5,0,6,5,1,0,0,1,1,1,0,gold
UK,3,4,245,56,1,1,0,0,3,1,0,1,0,1,0,0,red
Uruguay,2,3,178,3,2,0,0,9,3,0,0,1,1,1,0,0,white
US-Virgin-Isles,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,0,white
USA,1,4,9363,231,1,1,0,13,3,1,0,1,0,1,0,0,white
USSR,5,1,22402,274,5,6,0,0,2,1,0,0,1,0,0,0,red
Vanuatu,6,2,15,0,6,1,0,0,4,1,1,0,1,0,1,0,red
Vatican-City,3,1,0,0,6,0,2,0,4,1,0,0,1,1,1,0,gold
Venezuela,2,4,912,15,2,0,0,3,7,1,1,1,1,1,1,1,red
Vietnam,5,1,333,60,10,6,0,0,2,1,0,0,1,0,0,0,red
Western-Samoa,6,3,3,0,1,1,0,0,3,1,0,1,0,1,0,0,red
Yugoslavia,3,1,256,22,6,6,0,3,4,1,0,1,1,1,0,0,red
Zaire,4,2,905,28,10,5,0,0,4,1,1,0,1,0,0,1,green
Zambia,4,2,753,6,10,5,3,0,4,1,1,0,0,0,1,1,green
Zimbabwe,4,2,391,8,10,5,0,7,5,1,1,0,1,1,1,0,green
