name,landmass,image,area,colours,red ,green,blue,gold,white,black,orange ,mainhue
Burundi,4,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,28,3,1,1,0,0,1,0,0,red
Cameroon,4,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,474,3,1,1,0,1,0,0,0,gold
Canada,1,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg,9976,2,1,0,0,0,1,0,0,red
Cape-Verde-Islands,4,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg,4,5,1,1,0,1,0,1,1,gold
Cayman-Islands,1,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_the_Cayman_Islands.svg,0,6,1,1,1,1,1,0,1,blue
Central-African-Republic,4,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,623,5,1,1,1,1,1,0,0,gold
Chad,4,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,1284,3,1,0,1,1,0,0,0,gold
Chile,2,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,757,3,1,0,1,0,1,0,0,red
China,5,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,9561,2,1,0,0,1,0,0,0,red
Colombia,2,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,1139,3,1,0,1,1,0,0,0,gold
Comorro-Islands,4,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg,2,2,0,1,0,0,1,0,0,green
Congo,4,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg,342,3,1,1,0,1,0,0,0,red
Cook-Islands,6,https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_the_Cook_Islands.svg,0,4,1,0,1,0,1,0,0,blue
Costa-Rica,1,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Costa_Rica_%28state%29.svg,51,3,1,0,1,0,1,0,0,blue
Cuba,1,https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,115,3,1,0,1,0,1,0,0,blue
Cyprus,3,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,9,3,0,1,0,1,1,0,0,white
Czechoslovakia,3,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,128,3,1,0,1,0,1,0,0,white
Denmark,3,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,43,2,1,0,0,0,1,0,0,red
Djibouti,4,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg,22,4,1,1,1,0,1,0,0,blue
Dominica,1,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg,0,6,1,1,1,1,1,1,0,green
Dominican-Republic,1,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,49,3,1,0,1,0,1,0,0,blue
Ecuador,2,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,284,3,1,0,1,1,0,0,0,gold
Egypt,4,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,1001,4,1,0,0,1,1,1,0,black
El-Salvador,1,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,21,2,0,0,1,0,1,0,0,blue
Equatorial-Guinea,4,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg,28,4,1,1,1,0,1,0,0,green
Ethiopia,4,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,1222,3,1,1,0,1,0,0,0,green
Faeroes,3,https://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_the_Faroe_Islands.svg,1,3,1,0,1,0,1,0,0,white
Falklands-Malvinas,2,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_the_Falkland_Islands.svg,12,6,1,1,1,1,1,0,0,blue
Fiji,6,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg,18,7,1,1,1,1,1,0,1,blue
Finland,3,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,337,2,0,0,1,0,1,0,0,white
France,3,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,547,3,1,0,1,0,1,0,0,white
French-Guiana,2,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,91,3,1,0,1,0,1,0,0,white
French-Polynesia,6,https://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_French_Polynesia.svg,4,5,1,0,1,1,1,1,0,red
Gabon,4,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,268,3,0,1,1,1,0,0,0,green
Gambia,4,https://en.wikipedia.org/wiki/File:Flag_of_The_Gambia.svg,10,4,1,1,1,0,1,0,0,red
Germany-DDR,3,https://upload.wikimedia.org/wikipedia/commons/a/a1/Flag_of_East_Germany.svg,108,3,1,0,0,1,0,1,0,gold
Germany-FRG,3,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,249,3,1,0,0,1,0,1,0,black
Ghana,4,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,239,4,1,1,0,1,0,1,0,red
Gibraltar,3,https://upload.wikimedia.org/wikipedia/commons/0/02/Flag_of_Gibraltar.svg,0,3,1,0,0,1,1,0,0,white
Greece,3,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,132,2,0,0,1,0,1,0,0,blue
Greenland,1,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Greenland.svg,2176,2,1,0,0,0,1,0,0,white
Grenada,1,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg,0,3,1,1,0,1,0,0,0,gold
Guam,6,https://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Guam.svg,0,7,1,1,1,1,1,0,1,blue
Guatemala,1,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,109,2,0,0,1,0,1,0,0,blue
Guinea,4,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,246,3,1,1,0,1,0,0,0,gold
Guinea-Bissau,4,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg,36,4,1,1,0,1,0,1,0,gold
Guyana,2,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg,215,5,1,1,0,1,1,1,0,green
Haiti,1,,28,2,1,0,0,0,0,1,0,black
Honduras,1,,112,2,0,0,1,0,1,0,0,blue
Hong-Kong,5,,1,6,1,1,1,1,1,0,1,blue
Hungary,3,,93,3,1,1,0,0,1,0,0,red
Iceland,3,,103,3,1,0,1,0,1,0,0,blue
India,5,,3268,4,0,1,1,0,1,0,1,orange
Indonesia,6,,1904,2,1,0,0,0,1,0,0,red
Iran,5,,1648,3,1,1,0,0,1,0,0,red
Iraq,5,,435,4,1,1,0,0,1,1,0,red
Ireland,3,,70,3,0,1,0,0,1,0,1,white
Israel,5,,21,2,0,0,1,0,1,0,0,white
Italy,3,,301,3,1,1,0,0,1,0,0,white
Ivory-Coast,4,,323,3,1,1,0,0,1,0,0,white
Jamaica,1,,11,3,0,1,0,1,0,1,0,green
Japan,5,,372,2,1,0,0,0,1,0,0,white
Jordan,5,,98,4,1,1,0,0,1,1,0,black
Kampuchea,5,,181,2,1,0,0,1,0,0,0,red
Kenya,4,,583,4,1,1,0,0,1,1,0,red
Kiribati,6,,0,4,1,0,1,1,1,0,0,red
Kuwait,5,,18,4,1,1,0,0,1,1,0,green
Laos,5,,236,3,1,0,1,0,1,0,0,red
Lebanon,5,,10,4,1,1,0,0,1,0,1,red
Lesotho,4,,30,4,1,1,1,0,1,0,0,blue
Liberia,4,,111,3,1,0,1,0,1,0,0,red
Libya,4,,1760,1,0,1,0,0,0,0,0,green
Liechtenstein,3,,0,3,1,0,1,1,0,0,0,red
Luxembourg,3,,3,3,1,0,1,0,1,0,0,red
Malagasy,4,,587,3,1,1,0,0,1,0,0,red
Malawi,4,,118,3,1,1,0,0,0,1,0,red
Malaysia,5,,333,4,1,0,1,1,1,0,0,red
Maldive-Islands,5,,0,3,1,1,0,0,1,0,0,red
Mali,4,,1240,3,1,1,0,1,0,0,0,gold
Malta,3,,0,3,1,0,0,0,1,1,0,red
Marianas,6,,0,3,0,0,1,0,1,0,0,blue
Mauritania,4,,1031,2,0,1,0,1,0,0,0,green
Mauritius,4,,2,4,1,1,1,1,0,0,0,red
Mexico,1,,1973,4,1,1,0,0,1,0,1,green
Micronesia,6,,1,2,0,0,1,0,1,0,0,blue
Monaco,3,,0,2,1,0,0,0,1,0,0,red
Mongolia,5,,1566,3,1,0,1,1,0,0,0,red
Montserrat,1,,0,7,1,1,1,1,1,1,0,blue
Morocco,4,,447,2,1,1,0,0,0,0,0,red
Mozambique,4,,783,5,1,1,0,1,1,1,0,gold
Nauru,6,,0,3,0,0,1,1,1,0,0,blue
Nepal,5,,140,3,0,0,1,0,1,0,1,brown
Netherlands,3,,41,3,1,0,1,0,1,0,0,red
Netherlands-Antilles,1,,0,3,1,0,1,0,1,0,0,white
New-Zealand,6,,268,3,1,0,1,0,1,0,0,blue
Nicaragua,1,,128,2,0,0,1,0,1,0,0,blue
Niger,4,,1267,3,0,1,0,0,1,0,1,orange
Nigeria,4,,925,2,0,1,0,0,1,0,0,green
Niue,6,,0,4,1,0,1,1,1,0,0,gold
North-Korea,5,,121,3,1,0,1,0,1,0,0,blue
North-Yemen,5,,195,4,1,1,0,0,1,1,0,red
Norway,3,,324,3,1,0,1,0,1,0,0,red
Oman,5,,212,3,1,1,0,0,1,0,0,red
Pakistan,5,,804,2,0,1,0,0,1,0,0,green
Panama,2,,76,3,1,0,1,0,1,0,0,red
Papua-New-Guinea,6,,463,4,1,0,0,1,1,1,0,black
Parguay,2,,407,6,1,1,1,1,1,1,0,red
Peru,2,,1285,2,1,0,0,0,1,0,0,red
Philippines,6,,300,4,1,0,1,1,1,0,0,blue
Poland,3,,313,2,1,0,0,0,1,0,0,white
Portugal,3,,92,5,1,1,1,1,1,0,0,red
Puerto-Rico,1,,9,3,1,0,1,0,1,0,0,red
Qatar,5,,11,2,0,0,0,0,1,0,1,brown
Romania,3,,237,7,1,1,1,1,1,0,1,red
Rwanda,4,,26,4,1,1,0,1,0,1,0,red
San-Marino,3,,0,2,0,0,1,0,1,0,0,white
Sao-Tome,4,,0,4,1,1,0,1,0,1,0,green
Saudi-Arabia,5,,2150,2,0,1,0,0,1,0,0,green
Senegal,4,,196,3,1,1,0,1,0,0,0,green
Seychelles,4,,0,3,1,1,0,0,1,0,0,red
Sierra-Leone,4,,72,3,0,1,1,0,1,0,0,green
Singapore,5,,1,2,1,0,0,0,1,0,0,white
Soloman-Islands,6,,30,4,0,1,1,1,1,0,0,green
Somalia,4,,637,2,0,0,1,0,1,0,0,blue
South-Africa,4,,1221,5,1,1,1,0,1,0,1,orange
South-Korea,5,,99,4,1,0,1,0,1,1,0,white
South-Yemen,5,,288,4,1,0,1,0,1,1,0,red
Spain,3,,505,2,1,0,0,1,0,0,0,red
Sri-Lanka,5,,66,4,0,1,0,1,0,0,1,gold
St-Helena,4,,0,7,1,1,1,1,1,0,1,blue
St-Kitts-Nevis,1,,0,5,1,1,0,1,1,1,0,green
St-Lucia,1,,0,4,0,0,1,1,1,1,0,blue
St-Vincent,1,,0,4,0,1,1,1,1,0,0,green
Sudan,4,,2506,4,1,1,0,0,1,1,0,red
Surinam,2,,63,4,1,1,0,1,1,0,0,red
Swaziland,4,,17,7,1,0,1,1,1,1,1,blue
Sweden,3,,450,2,0,0,1,1,0,0,0,blue
Switzerland,3,,41,2,1,0,0,0,1,0,0,red
Syria,5,,185,4,1,1,0,0,1,1,0,red
Taiwan,5,,36,3,1,0,1,0,1,0,0,red
Tanzania,4,,945,4,0,1,1,1,0,1,0,green
Thailand,5,,514,3,1,0,1,0,1,0,0,red
Togo,4,,57,4,1,1,0,1,1,0,0,green
Tonga,6,,1,2,1,0,0,0,1,0,0,red
Trinidad-Tobago,2,,5,3,1,0,0,0,1,1,0,red
Tunisia,4,,164,2,1,0,0,0,1,0,0,red
Turkey,5,,781,2,1,0,0,0,1,0,0,red
Turks-Cocos-Islands,1,,0,6,1,1,1,1,1,0,1,blue
Tuvalu,6,,0,5,1,0,1,1,1,0,0,blue
UAE,5,,84,4,1,1,0,0,1,1,0,green
Uganda,4,,236,5,1,0,0,1,1,1,0,gold
UK,3,,245,3,1,0,1,0,1,0,0,red
Uruguay,2,,178,3,0,0,1,1,1,0,0,white
US-Virgin-Isles,1,,0,6,1,1,1,1,1,0,0,white
USA,1,,9363,3,1,0,1,0,1,0,0,white
USSR,5,,22402,2,1,0,0,1,0,0,0,red
Vanuatu,6,,15,4,1,1,0,1,0,1,0,red
Vatican-City,3,,0,4,1,0,0,1,1,1,0,gold
Venezuela,2,,912,7,1,1,1,1,1,1,1,red
Vietnam,5,,333,2,1,0,0,1,0,0,0,red
Western-Samoa,6,,3,3,1,0,1,0,1,0,0,red
Yugoslavia,3,,256,4,1,0,1,1,1,0,0,red
Zaire,4,,905,4,1,1,0,1,0,0,1,green
Zambia,4,,753,4,1,1,0,0,0,1,1,green
Zimbabwe,4,,391,5,1,1,0,1,1,1,0,green
